age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
0-17,120,02/04/2020,,,,
18-49,5302,02/04/2020,,,,
50-64,2879,02/04/2020,,,,
65 and Older,2342,02/04/2020,,,,
Unknown,58,02/04/2020,,,,
0-17,137,03/04/2020,,,,
18-49,5917,03/04/2020,,,,
50-64,3253,03/04/2020,,,,
65 and Older,2660,03/04/2020,,,,
Unknown,59,03/04/2020,,,,
0-17,160,04/04/2020,,,,
18-49,6610,04/04/2020,,,,
50-64,3653,04/04/2020,,,,
65 and Older,2966,04/04/2020,,,,
Unknown,49,04/04/2020,,,,
0-17,173,05/04/2020,,,,
18-49,7099,05/04/2020,,,,
50-64,3884,05/04/2020,,,,
65 and Older,3129,05/04/2020,,,,
Unknown,51,05/04/2020,,,,
0-17,197,06/04/2020,,,,
18-49,7753,06/04/2020,,,,
50-64,4344,06/04/2020,,,,
65 and Older,3516,06/04/2020,,,,
Unknown,55,06/04/2020,,,,
0-17,222,07/04/2020,,,,
18-49,8289,07/04/2020,,,,
50-64,4639,07/04/2020,,,,
65 and Older,3751,07/04/2020,,,,
Unknown,56,07/04/2020,,,,
0-17,252,08/04/2020,,,,
18-49,8939,08/04/2020,,,,
50-64,5003,08/04/2020,,,,
65 and Older,4056,08/04/2020,,,,
Unknown,59,08/04/2020,,,,
0-17,269,09/04/2020,,,,
18-49,9469,09/04/2020,,,,
50-64,5347,09/04/2020,,,,
65 and Older,4335,09/04/2020,,,,
Unknown,52,09/04/2020,,,,
0-17,303,10/04/2020,,,,
18-49,10069,10/04/2020,,,,
50-64,5633,10/04/2020,,,,
65 and Older,4561,10/04/2020,,,,
Unknown,49,10/04/2020,,,,
0-17,330,11/04/2020,,,,
18-49,10599,11/04/2020,,,,
50-64,5941,11/04/2020,,,,
65 and Older,4870,11/04/2020,,,,
Unknown,54,11/04/2020,,,,
0-17,337,12/04/2020,,,,
18-49,10838,12/04/2020,,,,
50-64,6079,12/04/2020,,,,
65 and Older,5036,12/04/2020,,,,
Unknown,58,12/04/2020,,,,
0-17,362,13/04/2020,,,,
18-49,11246,13/04/2020,,,,
50-64,6348,13/04/2020,,,,
65 and Older,5320,13/04/2020,,,,
Unknown,62,13/04/2020,,,,
0-17,385,14/04/2020,,,,
18-49,11721,14/04/2020,,,,
50-64,6644,14/04/2020,,,,
65 and Older,5605,14/04/2020,,,,
Unknown,69,14/04/2020,,,,
0-17,432,15/04/2020,,,,
18-49,12479,15/04/2020,,,,
50-64,7141,15/04/2020,,,,
65 and Older,6051,15/04/2020,,,,
Unknown,79,15/04/2020,,,,
0-17,472,16/04/2020,,,,
18-49,13144,16/04/2020,,,,
50-64,7488,16/04/2020,,,,
65 and Older,6360,16/04/2020,,,,
Unknown,64,16/04/2020,,,,
0-17,507,17/04/2020,,,,
18-49,13798,17/04/2020,,,,
50-64,7862,17/04/2020,,,,
65 and Older,6729,17/04/2020,,,,
Unknown,67,17/04/2020,,,,
0-17,550,18/04/2020,,,,
18-49,14408,18/04/2020,,,,
50-64,8232,18/04/2020,,,,
65 and Older,7071,18/04/2020,,,,
Unknown,72,18/04/2020,,,,
0-17,573,19/04/2020,,,,
18-49,14690,19/04/2020,,,,
50-64,8385,19/04/2020,,,,
65 and Older,7267,19/04/2020,,,,
Unknown,63,19/04/2020,,,,
0-17,683,20/04/2020,,,,
18-49,15901,20/04/2020,,,,
50-64,8961,20/04/2020,,,,
65 and Older,7650,20/04/2020,,,,
Unknown,66,20/04/2020,,,,
0-17,768,21/04/2020,,,,
18-49,17009,21/04/2020,,,,
50-64,9517,21/04/2020,,,,
65 and Older,8035,21/04/2020,,,,
Unknown,67,21/04/2020,,,,
0-17,855,22/04/2020,2.29,0,0,22.49
18-49,18004,22/04/2020,48.18,99,7.09,43.52
50-64,10025,22/04/2020,26.83,223,15.97,18.42
65 and Older,8401,22/04/2020,22.48,1074,76.93,15.57
Unknown,84,22/04/2020,0.22,0,0,
0-17,936,23/04/2020,2.38,0,0,22.49
18-49,18954,23/04/2020,48.29,107,7.19,43.52
50-64,10451,23/04/2020,26.62,234,15.71,18.42
65 and Older,8832,23/04/2020,22.5,1148,77.1,15.57
Unknown,81,23/04/2020,0.21,0,0,
0-17,1011,24/04/2020,2.46,0,0,22.49
18-49,19897,24/04/2020,48.37,112,7.12,43.52
50-64,10885,24/04/2020,26.46,246,15.64,18.42
65 and Older,9256,24/04/2020,22.5,1215,77.24,15.57
Unknown,88,24/04/2020,0.21,0,0,
0-17,1039,25/04/2020,2.46,0,0,22.49
18-49,20379,25/04/2020,48.33,117,7.1,43.52
50-64,11139,25/04/2020,26.42,254,15.42,18.42
65 and Older,9512,25/04/2020,22.56,1276,77.47,15.57
Unknown,95,25/04/2020,0.23,0,0,
